date,CL,HO,RB
2026-03-01,62.88999938964844,2.3879001140594482,1.9110000133514404
2026-04-01,62.75,2.300299882888794,2.140000104904175
2026-05-01,62.58000183105469,2.265399932861328,2.146899938583374
2026-06-01,62.369998931884766,2.2439000606536865,2.1379001140594482
2026-07-01,62.099998474121094,2.2351999282836914,2.1184000968933105
2026-08-01,61.810001373291016,2.2309999465942383,2.0897998809814453
2026-09-01,61.5,2.232300043106079,2.0495998859405518
2026-10-01,61.189998626708984,2.234600067138672,1.8950999975204468
2026-11-01,60.93000030517578,2.232599973678589,1.8524999618530273
2026-12-01,60.709999084472656,2.2262001037597656,1.8229000568389893
2027-01-01,60.529998779296875,2.223099946975708,1.8112000226974487
2027-02-01,60.38999938964844,2.2163000106811523,1.81659996509552
2027-03-01,60.310001373291016,2.2021000385284424,1.8331999778747559
2027-04-01,60.2599983215332,2.18179988861084,2.03410005569458
2027-05-01,60.2599983215332,2.169100046157837,2.0374999046325684
2027-06-01,60.27000045776367,2.160599946975708,2.030100107192993
2027-07-01,60.27000045776367,2.160799980163574,2.014899969100952
2027-08-01,60.27000045776367,2.163100004196167,1.993499994277954
